순번,회사명,공장대표주소,업종명,생산품,전화번호,팩스번호
496,(주)성우아이엠에스,"경상남도 창원시 성산구 완암로 50, 테크동 B1층 110호 (성산동, SK테크노파크)","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",정밀측정기,055-237-2117,055-237-2113
497,(주)성우아이엠에스,"경상남도 창원시 성산구 완암로 50, 테크동 B1층 B111호(성산동, SK테크노파크) 테크동 B1층 B111호","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",정밀측정기 외,055-237-2112,055-237-2113
498,(주)성우이노텍,경상남도 창원시 성산구 연덕로15번길 74 (웅남동),절삭가공 및 유사처리업,기계가공,055-555-5555,055-261-1931
499,(주)성우이엔지,경상남도 창원시 마산회원구 내서읍 중리공단로 121 ((주)성우이엔지),건설 및 채광용 기계장비 제조업,기계식 삽 날 제조,055-232-3090,
500,(주)성우테크,경상남도 창원시 마산합포구 진북면 산단1길 15 (진북면),승강기 제조업 외 2 종,CHIP CONVEYOR외,055-281-9784,055-274-7733
501,(주)성우표준기술연구원,"경상남도 창원시 성산구 완암로 50, 테크동 B1층 B110호 (성산동, SK테크노파크)","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",정밀측정기 등,055-237-2117,055-237-2113
502,(주)성원물류기기,경상남도 창원시 의창구 대산면 봉강가술로471번길 45-17,기타 구조용 금속제품 제조업 외 1 종,철파렛트,055-292-1961,055-292-1965
503,(주)성원정공,경상남도 창원시 마산회원구 자유무역1길 80 (양덕동),금속 절삭기계 제조업 외 1 종,풍력발전기 부품,055-256-6008,
504,(주)성은공조,경상남도 창원시 마산합포구 진전면 팔의사로 861 근린,육상 금속 골조 구조재 제조업 외 7 종,금속구조물,055-293-2500,070-4038-2578
505,(주)성일엔케어 진해공장,경상남도 창원시 진해구 가주로15번길 23 (가주동),금속탱크 및 저장용기 제조업 외 1 종,설치용 금속탱크 및 저장용기,051-264-2000,051-264-2008
506,(주)성진기어,경상남도 창원시 의창구 평산로70번길 9 (팔용동),절삭가공 및 유사처리업,자동차부품,055-286-3225,055-284-3226
507,(주)성진수출포장,경상남도 창원시 의창구 대산면 주남로327번길 33,목재 깔판류 및 기타 적재판 제조업,포장용 목재 깔판류 및 기타 적재판,055-291-9351,055-291-9354
508,(주)성진정밀,경상남도 창원시 의창구 차상로 172-19 (팔용동),공기 조화장치 제조업 외 2 종,크로스플로워팬,055-237-0303,055-237-1332
509,(주)성진테크,경상남도 창원시 성산구 웅남로795번길 27 (남산동),주형 및 금형 제조업,"금형(다이캐스팅, 자동차부품 등)",055-286-8491,055-286-8494
510,(주)성진티엠에스,"경상남도 창원시 마산회원구 봉암북14길 16-1 (봉암동, 주택)",그 외 기타 특수목적용 기계 제조업 외 1 종,측정자동화설비,055-295-4292,055-295-4293
511,(주)성평,경상남도 창원시 의창구 차룡로14번길 51 (팔용동),"전기회로 개폐, 보호장치 제조업","전기회로개폐, 보호장치제조",055-294-9438,055-294-9440
512,(주)성평,"경상남도 창원시 성산구 곰절길17번길 9, (주)성평 (성주동)","전기회로 개폐, 보호장치 제조업 외 1 종",커넥터,055-294-9438,055-294-9439
513,(주)성평정공,경상남도 창원시 의창구 팔용로 349 (팔용동),주형 및 금형 제조업,초정밀금형,055-294-9738,055-294-9439
514,(주)성하씨엔아이,경상남도 창원시 의창구 대산면 봉강가술로 471,그 외 기타 분류 안된 금속 가공 제품 제조업,유압용 관이음쇠,055-714-7550,055-714-7551
515,(주)성현,"경상남도 창원시 성산구 정동로62번길 30 (성주동, (주)삼송)",도장 및 기타 피막처리업,안전밸트부품의 전착도장,055-264-7871,055-264-7871
516,(주)성호엔지니어링,"경상남도 창원시 성산구 완암로 50, 메카동 5층 506호 (성산동, SK테크노파크)",배전반 및 전기 자동제어반 제조업,"전기판넬, 계장제어, 2차측 전기공사",055-266-1930,055-580-1534
517,(주)성호전자,경상남도 창원시 성산구 완암로 153 (내동),그 외 기타 전자부품 제조업 외 10 종,케이블,055-253-7324,055-251-7325
518,(주)성호특수강,"경상남도 창원시 성산구 반월로 32 (양곡동, (주)성호특수강)",기어 및 동력전달장치 제조업,"선박엔진부품(기어류, 로커 아암류)",055-287-0878,055-287-0885
519,(주)성화기계,"경상남도 창원시 의창구 죽전로40번길 45 (팔용동, (주)다산테크윈)",자동차용 신품 동력전달장치 제조업 외 22 종,"HUB, HOUSING",055-252-1794,055-252-1796
520,(주)세나코,"경상남도 창원시 마산회원구 내서읍 광려천남로 59, 경남로봇산업진흥재단 502,503,504호 (내서읍, 경남개발공사 아파트형공장)",선박 구성 부분품 제조업,선박엔진제어장치,070-7011-0832,055-582-0277
521,(주)세농,경상남도 창원시 의창구 동읍 동읍로 1252-12,배합 사료 제조업 외 4 종,"동물용사료(첨가제), 추출음료, 유기질비료",055-298-1048,055-299-1309
522,(주)세라코,"경상남도 창원시 성산구 완암로 50, 메카동 4층 413호 (성산동, SK테크노파크)",절삭가공 및 유사처리업,면취캇타,055-374-7488,055-374-7487
523,(주)세모,경상남도 창원시 의창구 북면 대산길156번길 41 ((주)세모),스크린 인쇄업 외 1 종,"스크린인쇄, 명판가공",055-299-7671,055-256-0450
524,(주)세민테크,"경상남도 창원시 성산구 완암로 50, 메카동 6층 619호 (성산동, SK테크노파크)",반도체 제조용 기계 제조업,자동화 설비,055-607-0422,055-277-7442
525,(주)세복,"경상남도 창원시 성산구 웅남로 786 (성주동, (주)세복)",공기 조화장치 제조업,AIR GUIDE외,055-286-9794,055-286-9790
526,(주)세아메탈,경상남도 창원시 성산구 공단로 280 (웅남동),냉간 압연 및 압출 제품 제조업,스텐레스 선재,055-266-8777,055-283-7404
527,(주)세아에삽 1공장,"경상남도 창원시 성산구 정동로62번길 56 (성주동, (주)세아에샵)",피복 및 충전 용접봉 제조업,"용접재료(용접와이어,스테안레스,용접봉)",055-289-8111,055-289-8864
528,(주)세아에삽 2공장,"경상남도 창원시 성산구 정동로62번길 51 (성주동, (주)세아에삽2공장)",피복 및 충전 용접봉 제조업,"용접재료(용접와이어,스테인레스용접봉)",055-289-8111,055-289-8864
529,(주)세아제강,경상남도 창원시 성산구 공단로 280 (웅남동),강관 제조업 외 1 종,강관 등,055-278-2222,055-289-8848
530,(주)세아창원특수강,경상남도 창원시 성산구 적현로 147 (신촌동) 외 20필지,제강업,"선재,강봉,무계목 강관",055-269-6031,055-269-6905
531,(주)세아항공방산소재,경상남도 창원시 성산구 정동로 48 (성주동),자동차용 금속 압형제품 제조업 외 3 종,"알루미늄 압출봉재, 파이프, 형재, 판재 등",055-269-9500,055-269-9536
532,(주)세연컴퍼니,"경상남도 창원시 의창구 차룡로48번길 44, 1동 15층 1510호(팔용동) 1동 15층 1510호","사진기, 영사기 및 관련 장비 제조업 ",셀프포토촬영인화기,055-298-7003,
533,(주)세영,경상남도 창원시 성산구 웅남로 498 (성산동),기타 가정용 전기기기 제조업 외 4 종,"세탁기, 에어컨용 PWB ASS'Y 자동차부품",055-282-8080,055-282-8118
534,(주)세영,"경상남도 창원시 성산구 공단로 202, 창곡일반산업단지 2단지 (창곡동)",전자부품 실장기판 제조업,전자부품 실장기판,055-282-8080,055-282-8118
535,(주)세영테크놀러지,경상남도 창원시 성산구 창곡로108번길 15-20 (신촌동),전자부품 실장기판 제조업,전자부품 실장기판,055-282-8080,055-282-8118
536,(주)세운산업,경상남도 창원시 마산합포구 진북면 정현공단길 55,폴리스티렌 발포 성형제품 제조업 외 1 종,자동차플라스틱부품,055-271-6881,
537,(주)세운테크놀로지,"경상남도 창원시 마산회원구 봉암북7길 21, ICT진흥센터 6동 501~503호 (봉암동)",배전반 및 전기 자동제어반 제조업 외 11 종,"케이블, CONTROL BOX",055-259-5290,055-259-5292
538,(주)세웅정기,경상남도 창원시 진해구 남양동 428번지,배전반 및 전기 자동제어반 제조업 외 1 종,배전반 및 전기자동제어반,051-831-0595,055-551-1361
539,(주)세원시스템,경상남도 창원시 의창구 팔용로359번길 15 (팔용동),절삭가공 및 유사처리업 외 2 종,"정밀가공품(하우징 등), PCB 제조",055-297-2202,055-297-5202
540,(주)세원엠티에스,"경상남도 창원시 성산구 연덕로15번길 49 (웅남동, 세원기계)",디스플레이 제조용 기계 제조업,LCD관련장비제조,055-285-5627,055-285-5644
541,(주)세원하이테크,"경상남도 창원시 성산구 성주로97번길 28, 4동 (남산동)",산업처리공정 제어장비 제조업,절삭유자동혼합장치,055-263-0704,055-263-0705
542,(주)세일사,"경상남도 창원시 성산구 완암로 9-46 (웅남동, (주)세일사)",기타 가정용 전기기기 제조업,세탁기부품,055-281-2657,055-281-2655
543,(주)세일테크,경상남도 창원시 마산합포구 진북면 진북산업로 535,기타 인쇄업 외 2 종,인쇄라벨 및 휴대폰부품 등,055-241-5114,055-221-5114
544,(주)세중,경상남도 창원시 성산구 적현로 492 (귀곡동),육상 금속 골조 구조재 제조업 외 2 종,강재쇼트 도장처리제품,055-274-1912,055-274-1916
545,(주)세중하이테크,경상남도 창원시 의창구 차룡로14번길 29 (팔용동),절삭가공 및 유사처리업,알루미늄가공(방산부품),055-716-0360,055-716-0361
546,(주)세진,경상남도 창원시 마산회원구 봉암공단4길 97 (봉암동),자동차용 신품 동력전달장치 제조업 외 1 종,자동차부품,,055-251-1108
547,(주)세진금속,경상남도 창원시 진해구 남영로564번길 32 (남양동),강관 제조업 외 1 종,"관이음쇠, 엘보 등",055-552-0858,
548,(주)세진금속,경상남도 창원시 진해구 남영로564번길 36 (남양동),강관 제조업 외 1 종,관이음쇠 엘보 등,055-552-0858,055-552-0857
549,(주)세진나노텍,경상남도 창원시 의창구 대산면 봉강가술로477번길 134,컨베이어장치 제조업,CHIP CONVEYOR ASS`Y,055-343-3424,055-343-3742
550,(주)세진정공,"경상남도 창원시 진해구 명제로35번길 27 (죽곡동, 세진정공)",육상 금속 골조 구조재 제조업 외 1 종,금속조립구조재,055-239-4700,
551,(주)세진정밀,경상남도 창원시 성산구 연덕로15번길 84-13 (웅남동),절삭가공 및 유사처리업,농업용기계부품,055-266-2850,055-267-2850
552,(주)세진테크윈,"경상남도 창원시 성산구 남면로113번길 25-46 (대원동, 영일전기(주))",그 외 기타 일반목적용 기계 제조업 외 1 종,산업용 원심분리기,055-275-1511,055-275-1595
553,(주)세진파이프시스템,경상남도 창원시 진해구 웅천서로41번길 14 (제덕동) 외 1필지,액체 펌프 제조업 외 2 종,액체펌프제조업,055-239-4709,055-239-4780
554,(주)세창철강,경상남도 창원시 의창구 대산면 봉강가술로537번길 12 (대산면),그 외 기타 1차 철강 제조업 외 1 종,절단가공철판,055-253-5666,055-253-5669
555,(주)세코,경상남도 창원시 의창구 북면 운무로 856-12 외 2필지,주형 및 금형 제조업,금형제품,,
556,(주)세코하이스트,경상남도 창원시 진해구 죽곡동 211번지,육상 금속 골조 구조재 제조업 외 1 종,조선배관용파이프유니트,051-714-1530,051-264-3977
557,(주)센트랄,"경상남도 창원시 성산구 공단로 551 (성산동, (주)센트랄)",자동차용 신품 조향장치 및 현가 장치 제조업,자동차조향장치,055-283-6901,055-283-0919
558,(주)센트랄,"경상남도 창원시 마산회원구 자유무역3길 211, 3동 1층 1,2,3층 일부 (양덕동, 표준공장)",그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,055-290-5354,055-251-1903
559,(주)센트랄유니코리아,경상남도 창원시 마산회원구 자유무역3길 222 (양덕동),그 외 기타 의료용 기기 제조업,의료용가스 공급장치,055-292-2127,
560,(주)솔엠시스텍,"경상남도 창원시 성산구 완암로 50, 테크동 9층 911호(성산동, SK테크노파크) 테크동 9층 911호 외 2필지",무기 및 총포탄 제조업 외 10 종,특수목적케이블 외,055-286-0357,055-286-0359
561,(주)송마,경상남도 창원시 성산구 창곡로 120 (신촌동),금속 절삭기계 제조업,공작기계부품,055-266-5014,055-266-5019
562,(주)송원테크,"경상남도 창원시 의창구 창원대로204번길 24 (팔용동, (주)경남스틸)",그 외 기타 1차 철강 제조업,"냉연코일 전, 절단가공, 용접재료 가공",055-252-9200,055-296-8800
563,(주)수 옵틱스,"경상남도 창원시 마산회원구 자유무역3길 193, 표준공장 2호동 6,7층 (양덕동)",기타 광학기기 제조업 외 3 종,"조준경, 활조준기",055-271-6070,055-271-6072
564,(주)수림,경상남도 창원시 의창구 차룡단지로 75-5 (팔용동),금속 절삭기계 제조업,CHUCK 및 공작기계부품,055-256-0171,055-252-3789
565,(주)수빈테크,경상남도 창원시 마산합포구 진북면 농공단지로 51,유압기기 제조업 외 1 종,농기계유압부품,055-266-9946,055-266-9936
566,(주)수영기업,"경상남도 창원시 의창구 평산로 23, 신화테크노밸리지식산업센터 116호 (팔용동)",자동차용 신품 동력전달장치 제조업 외 1 종,자동차용 기어류 가공,055-262-2680,055-274-2681
567,(주)수퍼제닉스,"경상남도 창원시 성산구 완암로 3, 5동 1층 6호 (웅남동)",그 외 기타 전기장비 제조업,"초전도 전자석,극저온 연구장비",055-262-9918,055-266-9918
